,key,val
441,Khối A,74602
442,Luật kinh tế:,7380107
443,Luật kinh tế;,7380107
444,Giáo dục thể chất,7140206
445,Giáo dục quốc phòng - an ninh,7140208
446,Giáo dục Quốc phòng - An ninh,7140208
447,Sư phạm thể chất - giáo dục quốc phòng,7140206
448,Sư Phạm thể chất giáo dục quốc phòng,7140206
449,Sư phạm giáo dục thể chất,7140206
450,Du lịch,78101
451,Du lịch điện tử,78101
452,Quản trị nhà nhà và dịch vụ ăn uống,7810202
453,Quản trị nhà hàng và dịch vụ ăn uống,7810202
454,Quản trị dịch vụ du lịch và lữ hành - Học tại Huế,7810103
455,Quản trị dịch vụ du lịch và lữ hành - Học tại Quảng trị,7810103
456,Du lịch học :,78101
457,Du lịch học ;,78101
458,Du lịch học,78101
459,Quản trị kinh doanh:,7340101
460,Sư phạm tiếng Trung Quốc,7140234
461,Ngôn ngữ Hàn Ọuốc,7220210
462,Sư phạm Tiếng Anh,7140231
463,SP tiếng pháp,7140233
464,Việt Nam Học :,7310630
465,Ngôn ngữ anh,7220201
466,Song ngữ anh - nga,7220201
467,Ngôn ngữ pháp,7220203
468,Kinh tế chuyên ngành Kế hoạch đầu tư CLC,7310104
469,Kinh tế chính trị,7310102
470,Thống kê kinh tế,7310107
471,Marketing,7340115
472,Tài chính ngân hàng Chất lượng cao,7340201
473,Kiểm toán chất lượng cao,7340302
474,Quản trị nhân lực,7340404
475,Hệ thống thông tin quản lý ( Tin học kinh tế) CLC,7340405
476,"Tài chính Ngân hàng ( liên kết trường ĐH Rennes I, Pháp)",7340201
477,Quản trị kinh doanh ( liên kết viện Công nghệ Tallaght - Ireland),7340101
478,Kinh tế nông nghiệp,7620115
479,"Song ngành Kinh tế Tài chính ( giảng dạy Tiếng Anh, liên kết trường ĐH Sydney, Australia)",7310102
480,Marketing*,7340115
481,Kinh doanh thương mại*,7340121
482,Hê thống thông tin quản lý,7340405
483,Kinh tế nông nghiệp - Tài chính,7620115
484,Quản trị kinh doanh (Liên thông),7340101
485,Kế toán (Liên thông),73403
486,Hệ thống thông tin quản lí,7340405
487,Quản trị kinh doanh (Liên kết),7340101
488,Tài chính - Ngân hàng (Liên kết),7340201
489,Quản trị nhân lực*,7340404
490,Kiểm toán*,7340302
491,Kinh doanh nông nghiệp*,7620114
492,Kinh tế nông nghiệp*,7620115
493,Quản trị kinh doanh (Học tại Quảng trị),7340101
494,Kinh tế:,7310101
495,Quản trị kinh doanh.,7340101
496,Kinh tế chính trị:,7310102
497,Kế toán:,73403
498,Tài chính ngân hàng:,7340201
499,Hệ thống thông tinh kinh tế:,7480104
500,Hệ thống thông tinh kinh tế,7480104
501,Kế toán.,73403
502,Tài chính ngân hàng.,7340201
503,Hệ thống thông tin kinh tế,7480104
504,Bất động sản,7340116
505,Sinh học ứng dụng,74202
506,Công nghệ sau thu hoạch,7540104
